epoch,accuracy,loss,val_accuracy,val_loss
0,0.35870468616485596,1.3295667171478271,0.394812673330307,1.2745355367660522
1,0.6648215055465698,0.9598255157470703,0.6599423885345459,0.9117662906646729
2,0.8021035194396973,0.5619251728057861,0.6887608170509338,0.80861496925354
3,0.8588430881500244,0.39800354838371277,0.7060518860816956,0.7828789353370667
4,0.8870744705200195,0.31623750925064087,0.7060518860816956,0.8489622473716736
5,0.9125380516052246,0.25875797867774963,0.6887608170509338,0.8759557008743286
6,0.9344035387039185,0.2128063291311264,0.6858789920806885,0.9490774273872375
7,0.9424301385879517,0.1746075451374054,0.6858789920806885,0.9884032607078552
8,0.947965681552887,0.1526387333869934,0.6974063515663147,1.03477144241333
9,0.9579296708106995,0.13392768800258636,0.7031700015068054,1.0896106958389282
10,0.9651259183883667,0.11991569399833679,0.6916426420211792,1.1243048906326294
11,0.9667866230010986,0.11092422902584076,0.6858789920806885,1.1551929712295532
12,0.9717686176300049,0.09666507691144943,0.6772334575653076,1.1986656188964844
13,0.973706066608429,0.09058372676372528,0.680115282535553,1.27985417842865
14,0.973429262638092,0.08781834691762924,0.6829971075057983,1.2745529413223267
15,0.973706066608429,0.08209236711263657,0.6772334575653076,1.351478099822998
16,0.973706066608429,0.0830230861902237,0.6858789920806885,1.3852797746658325
17,0.975089967250824,0.07604967802762985,0.6829971075057983,1.3866503238677979
18,0.9745364189147949,0.07394136488437653,0.6628242135047913,1.4223827123641968
19,0.9792416095733643,0.06585229933261871,0.6685879230499268,1.4721368551254272
20,0.976473867893219,0.07124761492013931,0.680115282535553,1.4644509553909302
21,0.976473867893219,0.06706773489713669,0.6858789920806885,1.4601274728775024
22,0.9773041605949402,0.06418480724096298,0.6829971075057983,1.4594885110855103
23,0.9759202599525452,0.06290514767169952,0.6743515729904175,1.465852975845337
24,0.9759202599525452,0.0635741725564003,0.6743515729904175,1.4620441198349
